Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
U.S. Citizen,University of Florida,Materials Science and Engineering,3.38,2019,Ph.D. with Masters,Materials Science/Polymers Engineering,,Female,White
U.S. Citizen,University of Florida,Computer Science,3.87,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,"Female,Male,LGBTQ+","American Indian or Alaska Native,Asian,White"
Permanent Resident,University of Florida,Mechanical and Aerospace Engineering,3.3,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Computer Engineering,3.76,2018,Masters,Computer Engineering,Robotics Engineering,Male,White
U.S. Citizen,University of Florida,Digital Arts and Sciences,3.33,2017,Masters,Animation,Game Design,Female,White
International,University of Florida,Mechanical Engineering,4,2019,Ph.D. with Masters,Biomedical Engineering,Mechanical Engineering,Female,Asian
U.S. Citizen,University of Florida,Civil Engineering,3,2019,Masters,Civil Engineering,Coastal/Water Systems Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.88,2018,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Florida,Aerospace & Mechanical Engineering,3.81,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,Asian
Permanent Resident,University of Florida,Civil Engineering,3.1,2018,Masters,Civil Engineering,Coastal/Water Systems Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Electrical engineering,3.6,2018,Masters,Electrical Engineering,Biomedical Engineering,Prefer not to answer,"American Indian or Alaska Native,Asian"
U.S. Citizen,University of Florida,Mechanical & Aerospace Engineering (Dual),3.7,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,"Asian,White"
Permanent Resident,University of Florida,Electrical Engineering,3.94,2019,Masters,Electrical Engineering,Robotics Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Biological Engineering,3.23,2019,Ph.D. only (have Masters),Biological Engineering,Agricultural Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Computer Science,3.99,2018,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Mechanical Engineering,3.49,2019,Masters,Mechanical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.98,2019,Masters,Mechanical Engineering,Robotics Engineering,Male,White
U.S. Citizen,University of Florida,Aerospace and Mechanical Engineering,3.65,2018,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,Asian
U.S. Citizen,University of Florida,Industrial and Systems Engineering,3.17,2018,Masters,Industrial/Systems Engineering,,Female,White
International,University of Florida,Civil Engineering,3.4,2018,Masters,Structural Engineering,Aerospace Engineering,Male,Asian
U.S. Citizen,University of Florida,Civil Engineering,3.32,2019,Masters,Civil Engineering,,Male,White
U.S. Citizen,University of Florida,Computer Engineering,3.37,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
Permanent Resident,University of Florida,Biomedical Engineer,3.88,2020,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,Hispanic
U.S. Citizen,University of Florida,Materials Science and Engineering,3.48,2019,Masters,Business,Materials Science/Polymers Engineering,Female,White
U.S. Citizen,University of Florida,Electrical Engineering,3.76,2018,Masters,Electrical Engineering,Robotics Engineering,Male,Black/African American
Permanent Resident,University of Florida,Digital Arts and Science,3.3,2019,Masters,Human Computer-Interaction/Factors Engineering,Computer Science/Engineering,Female,Asian
U.S. Citizen,University of Florida,Civil Engineer,3.32,2019,Masters,Civil Engineering,,Male,Asian
U.S. Citizen,University of Florida,Mechanical Engineering,3.5,2018,Online Masters,Mechanical Engineering,Ocean Engineering,Female,White
U.S. Citizen,University of Florida,Environmental Engineering,3.93,2019,Masters,Environmental Engineering,Coastal/Water Systems Engineering,Male,White
U.S. Citizen,University of Florida,Electrical Engineering,3.9,2017,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Male,Asian
U.S. Citizen,University of Florida,Computer Science,3.8,2019,Ph.D. with Masters,Computer Information Systems,Computer Science/Engineering,Male,Asian
U.S. Citizen,University of Florida,Biomedical Engineering,4,2020,Ph.D. with Masters,Biomedical Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,University of Florida,Biomedical Engineering,3.98,2018,Ph.D. with Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,University of Florida,Digital Arts and Sciences,3.55,2019,Masters,Human Computer-Interaction/Factors Engineering,Computer Information Systems,Female,"Asian,Hispanic"
U.S. Citizen,University of Florida,Biological engineering,3.87,2018,Ph.D. with Masters,Environmental Engineering,Climate/Space Sciences Engineering,Female,Asian
Permanent Resident,University of Florida,Industrial and Systems Engineering/ Mathematics,3.8,2019,Masters,Industrial/Systems Engineering,Financial Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Materials Science and Engineering,3.67,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Nuclear Engineering,Male,White
U.S. Citizen,University of Florida,Civil Engineering,3.91,2018,Ph.D. with Masters,Structural Engineering,Civil Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Industrial and Systems Engineering,3.67,2019,Masters,Outreach Engineering Management,Operations Engineering,Male,Asian
U.S. Citizen,University of Florida,Industrial/Systems Engineering,3.06,2018,Ph.D. with Masters,Industrial/Systems Engineering,Operations Engineering,Male,White
U.S. Citizen,University of Florida,Aerospace Engineering,3.33,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Computer Engineering,3.74,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.62,2019,Online Masters,Master of Business Administration,,Female,White
U.S. Citizen,University of Florida,Civil Engineering,4,2019,Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering w/ Materials Science Minor,3.72,2019,Masters,Business Administration OR Engineering Management,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Civil Engineering,3.48,2019,Masters,Coastal/Water Systems Engineering,Civil Engineering,"Female,LGBTQ+",White
U.S. Citizen,University of Florida,Computer Science,3.59,2018,Masters,Computer Science/Engineering,,Male,Hispanic
U.S. Citizen,University of Florida,Computer Science,3.56,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.08,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.83,2019,Ph.D. with Masters,Robotics Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,University of Florida,Chemical Engineering,3.92,2019,Masters,Industrial/Systems Engineering,Materials Science/Polymers Engineering,Female,White
U.S. Citizen,University of Florida,Civil Engineering,3.07,2019,Ph.D. with Masters,Coastal/Water Systems Engineering,Civil Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Computer Engineering,3,2019,Masters,Computer Engineering,Industrial/Systems Engineering,Male,"Asian,White"
U.S. Citizen,University of Florida,Biomedical Engineering,3.7,2019,Masters,Biomedical Engineering,,Male,White
U.S. Citizen,University of Florida,Materials Science & Engineering,3.55,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Nanoscience Engineering,Female,"Asian,White"
U.S. Citizen,University of Florida,Electrical Engineering,3.81,2018,Ph.D. with Masters,Electrical Engineering,Applied Physics,Male,White
International,University of Florida,Computer Engineering,3.57,2018,Masters,Artificial Intelligence,Robotics Engineering,Male,Asian
U.S. Citizen,University of Florida,Computer Engineeri g,4,2020,Masters,Machine Learning,Computer Science/Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Mechanical Engineering,3.71,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,Hispanic
Permanent Resident,University of Florida,Industrial and Systems Engineering,3.63,2019,Masters,Financial Engineering,Industrial/Systems Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.13,2018,Masters,Mechanical Engineering,Aerospace Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Mechanical engineering,3.72,2017,Online Masters,Operations Engineering,Mechanical Engineering,Male,"American Indian or Alaska Native,White"
U.S. Citizen,University of Florida,Biological Engineering,3.18,2018,Masters,Bioengineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Chemical Engineering,3.82,2019,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,"Male,LGBTQ+",Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.27,2017,Online Masters,Automotive Engineering,Mechanical Engineering,"Female,LGBTQ+",Black/African American
International,University of Florida,Civil Engineering,3.85,2018,Masters,Structural Engineering,Computer Science/Engineering,Male,Black/African American
U.S. Citizen,University of Florida,Chemical Engineering,3.57,2019,Masters,Chemical Engineering,,Male,White
U.S. Citizen,University of Florida,Chemical Engineering,3.96,2019,Ph.D. with Masters,Biomedical Engineering,Chemical Engineering,Male,White
U.S. Citizen,University of Florida,Biomedical Engineering,3.33,2019,Masters,Biomedical Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Chemical Engineering,3.21,2019,Masters,Petroleum Engineering,Chemical Engineering,Male,White
U.S. Citizen,University of Florida,Biological Engineering,3.95,2019,Ph.D. with Masters,Biological Engineering,Environmental Engineering,Female,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.51,2018,Ph.D. with Masters,Climate/Space Sciences Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,University of Florida,Computer Engineering,3.62,2019,Masters,Biomedical Engineering,Neural Engineering,Female,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.73,2020,Masters,Automotive Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Civil Engineering,3.73,2018,Masters,Master of Business Administration,Structural Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Biomedical Engineering,3.3,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Industrial and Systems Engineering,3.72,2019,Masters,Industrial/Systems Engineering,Operations Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.82,2020,Masters,Mechanical Engineering,Ocean Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.45,2019,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Florida,Electrical Engineering,3.46,2018,Ph.D. with Masters,Electrical Engineering,Environmental Engineering,Male,White
U.S. Citizen,University of Florida,Environmental Engineering,3.81,2017,Masters,Environmental Engineering,,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.31,2019,Masters,Biomedical Engineering,Mechanical Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Biomedical Engineering,4,2019,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,"Black/African American,White"
U.S. Citizen,University of Florida,Electrical Engineering,3.88,2019,Ph.D. with Masters,Electrical Engineering,Electrical Engineering,Male,White
Permanent Resident,University of Florida,Environmental Engineering Sciences,3.74,2019,Ph.D. with Masters,Energy Engineering,Climate/Space Sciences Engineering,"LGBTQ+,Prefer Not to Answer",Asian
U.S. Citizen,University of Florida,Mechanical Engineering,3.92,2017,Ph.D. with Masters,Robotics Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Biomedical Engineering,3.98,2019,Ph.D. with Masters,Biomedical Engineering,Nanoscience Engineering,Male,White
U.S. Citizen,University of Florida,Computer Science,3.86,2018,Ph.D. with Masters,Financial Engineering,Computer Science/Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Computer Engineering,3.92,2018,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Female,"Hispanic,White"
U.S. Citizen,University of Florida,Mechanical Engineering,3.68,2019,Masters,Mechanical Engineering,Industrial/Systems Engineering,Female,White
U.S. Citizen,University of Florida,Industrial and Systems Engineering,3.6,2019,Ph.D. with Masters,Industrial/Systems Engineering,Operations Engineering,Male,White
U.S. Citizen,University of Florida,Computer Engineering,3.8,2017,Masters,Computer Science/Engineering,Computer Engineering,Male,"Asian,White"
Permanent Resident,University of Florida,Aerospace Engineering,3.96,2019,Masters,Aerospace Engineering,Automotive Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Chemical Engineering,3.4,2019,Masters,Chemical Engineering,Financial Engineering,Male,Hispanic
Permanent Resident,University of Florida,Aerospace Engineering,3.47,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Materials Science and Engineering,3.53,2019,Masters,Materials Science/Polymers Engineering,Chemical Engineering,Female,White
U.S. Citizen,University of Florida,Mechanical engineering,3.59,2017,Online Masters,Mechanical Engineering,,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.73,2017,Masters,Mechanical Engineering,Robotics Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Computer Engineering,3.35,2018,Masters,Computer Science/Engineering,,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.8,2019,Masters,Mechanical Engineering,Structural Engineering,Male,White
U.S. Citizen,University of Florida,Materials Science and Engineering,3.84,2019,Ph.D. with Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,University of Florida,Nuclear engineering,3.7,2019,Ph.D. with Masters,Nuclear Engineering,,Female,"Asian,White"
U.S. Citizen,University of Florida,Biomedical Engineering Pre-Med,3.64,2019,Masters,Biomedical Engineering,Chemical Engineering,Male,White
Permanent Resident,University of Florida,Mechanical Engineering,3.25,2018,Ph.D. with Masters,Aerospace Engineering,Applied Physics,Male,Asian
U.S. Citizen,University of Florida,Mechanical Engineering,3.16,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,Black/African American
Permanent Resident,University of Florida,Civil Engineering,3.98,2017,Ph.D. with Masters,Civil Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,University of Florida,Biomedical Engineering,3.14,2020,Ph.D. with Masters,Biomedical Engineering,Human Computer-Interaction/Factors Engineering,Male,Asian
U.S. Citizen,University of Florida,Aerospace Engineering,3.96,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Materials Engineering,3.76,2020,Ph.D. with Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Aerospace and Mechanical Engineering,3.8,2018,Masters,Aerospace Engineering,Mechanical Engineering,"Male,LGBTQ+",White
U.S. Citizen,University of Florida,Industrial and Systems Engineering,3.97,2019,Masters,Management,Industrial/Systems Engineering,Female,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.6,2020,Ph.D. with Masters,Mechanical Engineering,Industrial/Systems Engineering,"Male,LGBTQ+",Hispanic
U.S. Citizen,University of Florida,Aerospace engineering,3.38,2020,Masters,Aerospace Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Florida,Civil Engineering,3.33,2019,Masters,Structural Engineering,Architectural Engineering,Male,White
U.S. Citizen,University of Florida,Aerospace Engineering,3.2,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,Black/African American
U.S. Citizen,University of Florida,Environmental Engineering,3.78,2019,Ph.D. with Masters,Energy Engineering,Environmental Engineering,Female,White
Permanent Resident,University of Florida,Biomedical Engineering,3.26,2019,Masters,Biomedical Engineering,Neural Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Electrical Engineering,3.29,2018,Ph.D. with Masters,Electrical Engineering,Computer Engineering,"Male,LGBTQ+","American Indian or Alaska Native,Hispanic,White"
U.S. Citizen,University of Florida,Chemical Engineering,3.34,2019,Masters,Biomedical Engineering,Bioengineering,Female,White
Permanent Resident,University of Florida,Chemical Engineering,3.67,2019,Ph.D. with Masters,Chemical Engineering,Electrical Engineering,Female,Black/African American
U.S. Citizen,University of Florida,Civil Engineering,3.7,2018,Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,University of Florida,Computer Engineering,3.05,2018,Masters,Computer Science/Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,University of Florida,Computer Science,3.56,2018,Masters,Computer Science/Engineering,Financial Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Environmental Engineering,3.46,2018,Masters,Coastal/Water Systems Engineering,Environmental Engineering,Female,White
U.S. Citizen,University of Florida,Environmental Engineering Sciences,4,2019,Masters,Environmental Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,University of Florida,Industrial engineering,3.96,2019,Ph.D. with Masters,Industrial/Systems Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,4,2020,Masters,Mechanical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,University of Florida,Materials Engineering,3.1,2018,Masters,Materials Science/Polymers Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Florida,Biological Engineering,3.33,2018,Masters,Biomedical Engineering,Biological Engineering,Male,White
U.S. Citizen,University of Florida,Chemical Engineering,3.49,2019,Ph.D. with Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Florida,Biomedical Engineering,3.89,2018,Ph.D. with Masters,Biomedical Engineering,Neural Engineering,Male,Asian
Permanent Resident,University of Florida,Nuclear Engineering,3.79,2018,Masters,Mechanical Engineering,Nuclear Engineering,Male,Asian
U.S. Citizen,University of Florida,Electrical Engineering,3.56,2020,Masters,Electrical Engineering,Computer Engineering,Male,Asian
Permanent Resident,University of Florida,Computer science,4,2018,Masters,Computer Science/Engineering,,Male,Asian
Permanent Resident,University of Florida,Computer Science,4,2019,Masters,Computer Science/Engineering,,Male,Asian
U.S. Citizen,University of Florida,Computer Science,3.11,2018,Masters,Computer Science/Engineering,,Male,Asian
U.S. Citizen,University of Florida,Computer Engineering,3.02,2018,Masters,Computer Engineering,Computer Science/Engineering,Male,Asian
International,University of Florida,BIOMEDICAL ENGINEERING,3.48,2019,Ph.D. with Masters,Biomedical Engineering,Computer Science/Engineering,"Male,LGBTQ+",Hispanic
U.S. Citizen,University of Florida,Computer Science Engineering,3.51,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.53,2019,Online Masters,Mechanical Engineering,Petroleum Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Civil Engineering,3.87,2020,Masters,Civil Engineering,Structural Engineering,Female,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.16,2018,Masters,Mechanical Engineering,Aerospace Engineering,Female,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.67,2018,Masters,Mechanical Engineering,Engineering Management,Male,Hispanic
U.S. Citizen,University of Florida,Digital Arts and Sciences Engineering,3.24,2017,Masters,Human Computer-Interaction/Factors Engineering,Computer Information Systems,Female,Hispanic
U.S. Citizen,University of Florida,Digital Arts and Sciences Engineering,3.85,2018,Masters,Human Computer-Interaction/Factors Engineering,Computer Science/Engineering,Male,Hispanic
Permanent Resident,University of Florida,Industrial and Systems Engineering,3.74,2018,Masters,Petroleum Engineering,Financial Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Mechanical/Aerospace Engineering,3.42,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical engineering,3.3,2019,Ph.D. with Masters,Neural Engineering,Biomedical Engineering,Male,White
U.S. Citizen,University of Florida,Material Science and Engineering,3.12,2019,Ph.D. with Masters,Materials Science/Polymers Engineering,Biomedical Engineering,Male,Asian
U.S. Citizen,University of Florida,Aerospace Engineering,3.86,2020,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Aerospace/Mechanical Engineering,3.71,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Biological engineering,3.7,2018,Ph.D. with Masters,Biological Engineering,Bioengineering,Female,White
U.S. Citizen,University of Florida,Electrical Engineering,3.78,2019,Masters,Computer Engineering,,Male,White
U.S. Citizen,University of Florida,Chemical Engineering,3.03,2020,Ph.D. with Masters,Chemical Engineering,,Male,White
U.S. Citizen,University of Florida,Aerospace Engineering,3.67,2019,Ph.D. with Masters,Aerospace Engineering,Energy Engineering,Male,White
U.S. Citizen,University of Florida,Computer Science,3.07,2017,Masters,Computer Science/Engineering,,Male,Hispanic
U.S. Citizen,University of Florida,Materials Science and Engineering,3.25,2018,Masters,Materials Science/Polymers Engineering,Operations Engineering,Female,Asian
U.S. Citizen,University of Florida,Computer Science,3.84,2019,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engkneering,3.06,2019,Ph.D. with Masters,Mechanical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Florida,Aerospace Engineering,3.56,2017,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Nuclear Engineering,3.17,2018,Ph.D. with Masters,Medical Physics,,Female,Black/African American
U.S. Citizen,University of Florida,Nuclear Engineering,3.74,2018,Masters,Nuclear Engineering,Environmental Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Electrical Engineering,3.67,2019,Masters,Electrical Engineering,,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Aerospace engineering,3.47,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,University of Florida,Digital Arts & Sciences Engineering,3.46,2018,Masters,Human Computer-Interaction/Factors Engineering,,Female,Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.52,2018,Masters,Biomedical Engineering,Mechanical Engineering,Female,White
U.S. Citizen,University of Florida,Chemical Engineering,3.58,2018,Ph.D. with Masters,Chemical Engineering,Petroleum Engineering,Male,Hispanic
International,University of Florida,Civil Engineering,3.41,2017,Ph.D. with Masters,Civil Engineering,Energy Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Electrical Engineering,3.18,2018,Masters,Electrical Engineering,,Male,White
U.S. Citizen,University of Florida,Aerospace Engineering,3.42,2019,Masters,Materials Science/Polymers Engineering,Aerospace Engineering,Female,Asian
U.S. Citizen,University of Florida,Civil Engineering,3.42,2019,Masters,Coastal/Water Systems Engineering,,Female,White
International,University of Florida,Materials Science & Engineering,3.28,2019,Ph.D. with Masters,Materials Science/Polymers Engineering,Energy Engineering,Female,Black/African American
Permanent Resident,University of Florida,Chemical Engineering,3.78,2019,Masters,Chemical Engineering,Biological Engineering,Female,White
Permanent Resident,University of Florida,Mechanical Engineering,3.45,2019,Masters,Mechanical Engineering,Energy Engineering,Male,Hispanic
U.S. Citizen,University of Florida,biomedical engineering,3.98,2020,Ph.D. with Masters,Biomedical Engineering,Biological Engineering,Male,White
Permanent Resident,University of Florida,Biomedical Engineering,3.7,2019,Ph.D. with Masters,Neural Engineering,Human Computer-Interaction/Factors Engineering,Female,Asian
U.S. Citizen,University of Florida,Computer Engineering,3.42,2019,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,University of Florida,Mechanical engineering,3.45,2020,Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,White
U.S. Citizen,University of Florida,Biomedical Engineering,3.35,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,Hispanic
U.S. Citizen,University of Florida,Computer Engineering,3.9,2018,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,University of Florida,Electrical Engineering,3.34,2019,Masters,Electrical Engineering,Optical Engineering,Male,White
U.S. Citizen,University of Florida,Chemical Engineering,3.56,2019,Ph.D. with Masters,Chemical Engineering,Materials Science/Polymers Engineering,Female,White
U.S. Citizen,University of Florida,Chemical engineering,3.38,2019,Ph.D. with Masters,Chemical Engineering,Bioengineering,Female,White
U.S. Citizen,University of Florida,Materials science and engineering,3.81,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,,Female,Asian
U.S. Citizen,University of Florida,Civil Engineering,3.03,2019,Masters,Structural Engineering,Civil Engineering,Male,Hispanic
Permanent Resident,University of Florida,Industrial engineering,3.61,2018,Masters,Industrial/Systems Engineering,,"Female,Male",Hispanic
U.S. Citizen,University of Florida,Mechanical Engineering,3.89,2018,Masters,Mechanical Engineering,Energy Engineering,Male,Asian
U.S. Citizen,University of Florida,Electrical Engineering,3.51,2018,Ph.D. with Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.17,2017,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Florida,Biomedical Engineering,3.34,2019,Masters,Biomedical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,University of Florida,Computer Engineering and Music (dual degree),3.84,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,University of Florida,Computer Science,3.23,2018,Masters,Computer Science/Engineering,Computer Engineering,Female,White
U.S. Citizen,University of Florida,Chemical Engineering,4,2019,Masters,Chemical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.32,2019,Masters,Mechanical Engineering,Aerospace Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Biomedical Engineering,3.97,2019,Masters,Biomedical Engineering,,Male,White
U.S. Citizen,University of Florida,Computer Science,3.96,2020,Masters,Business Administration,Graphic Design,Female,"Hispanic,White"
U.S. Citizen,University of Florida,Materials Science and Engineering,3.96,2020,Ph.D. with Masters,Materials Science/Polymers Engineering,Robotics Engineering,Male,White
U.S. Citizen,University of Florida,Computer Science,3.17,2019,Masters,Computer Science/Engineering,Computer Information Systems,Male,Hispanic
U.S. Citizen,University of Florida,Environmental Engineering,3.22,2018,Masters,Environmental Engineering,Climate/Space Sciences Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Environmental Engineering,3.05,2018,Masters,Environmental Engineering,Climate/Space Sciences Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Computer Engineering,3.63,2019,Ph.D. with Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.49,2018,Masters,Mechanical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,University of Florida,Electrical Engineering,3.74,2018,Masters,Electrical Engineering,Computer Engineering,Male,"Hispanic,White"
U.S. Citizen,University of Florida,Biomedical Engineering,3.53,2019,Masters,Biomedical Engineering,Materials Science/Polymers Engineering,"Female,LGBTQ+",Hispanic
Permanent Resident,University of Florida,Material Science Engineering,3.84,2020,Ph.D. with Masters,Materials Science/Polymers Engineering,Tissue Engineering,Female,Hispanic
U.S. Citizen,University of Florida,Chemical Engineering,3.52,2018,Ph.D. with Masters,Chemical Engineering,Bioengineering,Male,White
U.S. Citizen,University of Florida,Aerospace and mechanical engineering,3.91,2018,Masters,Aerospace Engineering,Financial Engineering,Male,White
U.S. Citizen,University of Florida,Mechanical Engineering,3.69,2020,Ph.D. with Masters,Applied Physics,Computer Science/Engineering,Male,White
U.S. Citizen,University of Florida,Industrial and Systems Engineering,3,2019,Online Masters,Finance,Financial Engineering,Male,White
U.S. Citizen,University of Florida,Computering Engineering,3.3,2020,Ph.D. with Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,University of Florida,Electrical Engineering,3.69,2018,Masters,Electrical Engineering,Mechanical Engineering,Male,Hispanic
U.S. Citizen,University of Florida,Materials Science Engineering,3.78,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Neural Engineering,Male,"Asian,White"
U.S. Citizen,University of Florida,Mechanical Engineer,3.56,2020,Masters,Mechanical Engineering,,Female,Hispanic
International,University of Florida,Aerospace Engineering,3.95,2019,Masters,Aerospace Engineering,Automotive Engineering,Male,White
U.S. Citizen,University of Florida,Electrical engineering,3.76,2019,Masters,Neural Engineering,Financial Engineering,Prefer not to answer,White
U.S. Citizen,University of Florida,Industrial and systems engineering,3.48,2017,Online Masters,Energy Engineering,Climate/Space Sciences Engineering,Female,White
